,Course Code,INSTITUTION and COURSE,EOS,Mid
225,DC114,Global Business (Spain),501,543
226,DC115,Accounting and Finance,487,500
227,DC116,Global Business (USA),578,589
228,DC117,Aviation Management / Aviation Management with Pilot Studies,463,487
229,DC118,Gnó agus Gaeilge / Business and Irish,357,399
230,DC119,Global Business (Canada),566,577
231,DC120,Enterprise Computing,350,389
232,DC121,Computer Applications,370,418
233,DC123,Data Science,467,511
234,DC126,Actuarial Mathematics,520,543
235,DC127,Common Entry into Actuarial and Financial Mathematics,509,531
236,DC131,Communication Studies,400,441
237,DC132,Journalism,401,440
238,DC133,Multimedia,403,451
239,DC155,Applied Language and Translation Studies,371,430
240,DC161,Analytical Science,446,463
241,DC162,Chemical and Pharmaceutical Sciences,488,498
242,DC166,Environmental Science and Technology,412,442
243,DC167,Physics with Astronomy,434,477
244,DC168,Genetics and Cell Biology,489,500
245,DC171,Applied Physics,402,433
246,DC173,Physics with Biomedical Sciences,402,458
247,DC181,Biotechnology,476,488
248,DC190,Electronic and Computer Engineering (with choice of four majors),391,433
249,DC193,Mechatronic Engineering,404,445
250,DC195,Mechanical and Manufacturing Engineering,401,444
251,DC197,Biomedical Engineering,402,446
252,DC200,Common Entry into Engineering (Undenominated Entry),381,444
253,DC201,Common Entry into Science (Undenominated Entry),454,477
254,DC202,Sport Science and Health,467,476
255,DC203,Science Education,424,476
256,DC204,Athletic Therapy and Training,484,500
257,DC205,Physical Education with Biology,490,521
258,DC206,Physical Education with Mathematics,443,476
259,DC208,Psychology,509,521
260,DC209,Health and Society,419,440
261,DC215,General Nursing,414,443
262,DC216,Mental Health Nursing,368,389
263,DC217,Intellectual Disability Nursing,347,362
264,DC218,Children`s and General Nursing (Integrated),467,480
265,DC230,"Economics, Politics and Law",400,431
266,DC231,International Relations,387,445
267,DC232,Law and Society (BCL),453,487
268,DC235,Education and Training - Daytime Delivery Mode (full-time),307,327
269,DC238,Social Sciences and Cultural Innovation,358,388
