,Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019
320,CW758,Professional Social Care Practice,444.0,,
321,CW807,Sport Coaching and Business Management - GAA (portfolio),271.0,,
322,CW808,Media and Public Relations,301.0,,
323,CW817,Sport Coaching and Business Management - Rugby (portfolio),300.0,,
324,CW827,Sport Coaching and Business Management - Soccer (portfolio),420.0,,
325,CW837,Digital Marketing with Analytics,270.0,,
326,CW848,Digital Marketing with Analytics,330.0,,
327,CW858,"Sports Management and Coaching (options, portfolio)",266.0,,
328,CW906,Business,251.0,,
329,CW908,Business (options),740.0,,
330,CW917,Business (options),589.0,,
331,CW926,Business with Law,613.0,,
332,CW936,Accounting,,,
333,CW938,Business with Law,262.0,,
334,CW948,Accounting,228.0,,
335,DB500,Computing,235.0,,
336,DB501,Computing (Cloud Computing),309.0,,
337,DB502,Computing (Data Analytics and Big Data),270.0,,
338,DB503,Computing (Software Development),465.0,,
339,DB504,Computing (Web and Mobile Technology),274.0,,
340,DB510,Audio Production and Music Project Management,271.0,,
341,DB512,Business Studies,434.0,,
342,DB514,Business Studies (Law),278.0,,
343,DB515,Business Studies (Human Resource Management),253.0,,
344,DB516,Financial Services,300.0,,
345,DB517,Marketing (Event Management),248.0,,
346,DB518,Marketing (Digital Media),423.0,,
347,DB521,Accounting and Finance,638.0,,
348,DB524,Business Information Systems,396.0,,
349,DB525,Marketing (Digital Media and Cloud Computing),315.0,,
350,DB526,Business Information Systems (Cloud Computing),330.0,,
351,DB527,Applied Social Care,411.0,,
352,DB528,Applied Social Care,413.0,,
353,DB531,Marketing,271.0,,
354,DB534,Sound Engineering and Music Production,400.0,,
355,DB562,Psychology,477.0,,
356,DB563,Arts,510.0,,
357,DB566,Social Science,322.0,,
358,DB567,Film and Creative Media,499.0,,
359,DB568,Law,403.0,,
360,DB569,Business (Psychology),395.0,,
361,DB571,Business Studies,251.0,,
362,DB572,Business in Accounting,270.0,,
363,DB573,Business in Marketing,235.0,,
364,DB574,Business in Information Technology,262.0,,
365,DB576,Film and Creative Media,282.0,,
366,DC001,Education - Early Childhood Education,441.0,,
367,DC002,Education - Primary Teaching,235.0,,
368,DC003,Education - Primary Teaching - Gaeltacht Applicants,522.0,,
369,DC004,Education - Primary Teaching (Church of Ireland Ce,566.0,,
370,DC005,Education - Primary Teaching - Irish Sign Language,542.0,,
371,DC009,Arts (Joint Honours) - Humanities,387.0,,
372,DC010,Post Primary Teacher Education - Religious Educati,601.0,,
373,DC011,Post Primary Teacher Education - Religious Education and History,532.0,,
374,DC012,Post Primary Teacher Education - Religious Education and Music,487.0,,
375,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,294.0,,
376,DC014,BA in Jazz and Contemporary Music Performance (aud,451.0,,
377,DC110,Business Studies International,445.0,,
378,DC111,Business Studies,314.0,,
379,DC112,Global Business (Franc,339.0,,
380,DC113,Global Business (Germany),346.0,,
381,DC114,Global Business (Spain),412.0,,
382,DC115,Accounting and Finance,309.0,,
383,DC116,Global Business (USA),380.0,,
384,DC117,Aviation Management / Aviation Management with Pilot Studies,270.0,,
385,DC118,Gnó agus Gaeilge / Business and Irish,477.0,,
386,DC119,Global Business (Canada),462.0,,
387,DC120,Enterprise Computing,460.0,,
388,DC121,Computer Applications,377.0,,
389,DC123,Data Science,300.0,,
390,DC126,Actuarial Mathematics,420.0,,
391,DC127,Common Entry into Actuarial and Financial Mathematics,311.0,,
392,DC131,Communication Studies,322.0,,
393,DC132,Journalism,356.0,,
394,DC133,Multimedia,463.0,,
395,DC155,Applied Language and Translation Studies,219.0,,
396,DC161,Analytical Science,270.0,,
397,DC162,Chemical and Pharmaceutical Sciences,230.0,,
398,DC163,Chemical Sciences General Entry (Undenominated Ent,412.0,,
399,DC166,Environmental Science and Technology,307.0,,
400,DC167,Physics with Astronomy,307.0,,
401,DC168,Genetics and Cell Biology,211.0,,
402,DC171,Applied Physics,251.0,,
403,DC173,Physics with Biomedical Sciences,300.0,,
404,DC175,Physics General Entry (options),484.0,,
405,DC180,Biological Sciences General Entry (Undenominated E,311.0,,
406,DC181,Biotechnology,252.0,,
407,DC190,Electronic and Computer Engineering (with choice of four majors),261.0,,
408,DC193,Mechatronic Engineering,336.0,,
409,DC194,Sustainable Systems and Energy,244.0,,
410,DC195,Mechanical and Manufacturing Engineering,309.0,,
411,DC197,Biomedical Engineering,308.0,,
412,DC200,Common Entry into Engineering (Undenominated Entry),326.0,,
413,DC201,Common Entry into Science (Undenominated Entry),275.0,,
414,DC202,Sport Science and Health,536.0,,
415,DC203,Science Education,448.0,,
416,DC204,Athletic Therapy and Training,364.0,,
417,DC205,Physical Education with Biology,357.0,,
418,DC206,Physical Education with Mathematics,298.0,,
419,DC207,Psychology and Mathematics,700.0,,
420,DC208,Psychology,549.0,,
421,DC209,Health and Society,544.0,,
422,DC210,Psychology and Disruptive Technologies,700.0,,
423,DC215,General Nursing,299.0,,
424,DC216,Mental Health Nursing,280.0,,
425,DC217,Intellectual Disability Nursing,369.0,,
426,DC218,Children`s and General Nursing (Integrated),453.0,,
427,DC230,"Economics, Politics and Law",414.0,,
428,DC231,International Relations,367.0,,
429,DC232,Law and Society (BCL),270.0,,
430,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-tim,326.0,,
431,DC238,Social Sciences and Cultural Innovation,251.0,,
432,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",378.0,,
433,DC240,"Marketing, Innovation and Technology",407.0,,
434,DC241,Digital Business and Innovation,320.0,,
435,DC291,Arts (Joint Honours) - Media Studies,477.0,,
436,DC292,Arts (Joint Honours) - Law,543.0,,
437,DC293,Arts (Joint Honours) - International Languages,589.0,,
438,DC294,Climate and Environmental Sustainability,497.0,,
439,DC295,Arts (Joint Honours) - Politics,590.0,,
440,DK710,Business and Management,564.0,,
441,DK711,Business and Technology,486.0,,
442,DK712,Digital Marketing and Public Relations,613.0,,
443,DK721,Computing,389.0,,
444,DK722,Augmented and Virtual Reality,602.0,,
445,DK730,Building Surveying,567.0,,
446,DK731,Architectural Technology,462.0,,
447,DK732,Construction Management,377.0,,
448,DK740,Engineering - Electrical and Electronic Systems,541.0,,
449,DK742,Engineering - Mechanical Engineering,566.0,,
450,DK744,Engineering - Civil Engineering,519.0,,
451,DK750,Hospitality Management,463.0,,
452,DK752,Event Management,578.0,,
453,DK753,Culinary Arts,555.0,,
454,DK763,"Sport, Exercise and Enterprise",549.0,,
455,DK767,Community Youth Work (interview),625.0,,
456,DK768,Audio and Music Production,589.0,,
457,DK769,Creative Media,589.0,,
458,DK770,Theatre & Film Practice,443.0,,
459,DK771,Musical Theatre (audition),499.0,,
460,DK781,Science - Bioscience,417.0,,
461,DK783,Science - Pharmaceutical Science,522.0,,
462,DK784,Veterinary Nursing,486.0,,
463,DK810,Accounting and Finance,743.0,,
464,DK816,Business Studies,625.0,,
465,DK820,Computing in Games Development,590.0,,
466,DK821,Computing in Software Development,577.0,,
467,DK822,Augmented and Virtual Reality,566.0,,
468,DK830,Building Surveying,601.0,,
469,DK831,Architectural Technology,577.0,,
470,DK832,Construction Management,554.0,,
471,DK843,Engineering (Common Entry),495.0,,
472,DK844,Mechanical Engineering,543.0,,
473,DK845,Electrical and Electronic Engineering,555.0,,
474,DK846,Civil Engineering,613.0,,
475,DK850,International Tourism Management,613.0,,
476,DK860,Music (audition),567.0,,
477,DK861,Arts,487.0,,
478,DK862,Social Care,564.0,,
479,DK863,Creative Media,530.0,,
480,DK864,Film and Television Production,487.0,,
481,DK865,Audio and Music Production,391.0,,
482,DK870,General Nursing,566.0,,
483,DK872,Intellectual Disability Nursing,456.0,,
484,DK874,Mental Health Nursing,473.0,,
485,DK876,Early Childhood Studies,442.0,,
486,DK877,Midwifery,410.0,,
487,DK880,Health and Physical Activity,531.0,,
488,DK882,Agriculture (Award options),521.0,,
489,DK883,Science (Award options),555.0,,
490,DK884,Sustainable Agriculture,435.0,,
491,DK885,Agri-Food Production,424.0,,
492,DK886,Biopharmaceutical Science,565.0,,
493,DK887,Environmental Science,567.0,,
494,DL701,Business - Applied Entrepreneurship,549.0,,
495,DL821,"English, Media and Cultural Studies",613.0,,
496,DL822,Arts Management,510.0,,
497,DL823,Business Management,444.0,,
498,DL825,Applied Psychology,531.0,,
499,DL826,Visual Communication Design,566.0,,
500,DL827,Art,601.0,,
501,DL828,"3D Design, Modelmaking and Digital Art",,,
502,DL829,Design for Stage and Screen (Costume Design),509.0,,
503,DL830,Design for Stage and Screen (Makeup Design),743.0,,
504,DL831,Design for Stage and Screen (Production Design),61.0,,
505,DL832,Animation,566.0,,
506,DL833,Photography and Visual Media,,,
507,DL834,Film and Television Production,601.0,,
508,DL835,Creative Media Technologies,543.0,,
509,DL836,Creative Computing,476.0,,
510,DL837,New Media Studies,613.0,,
511,DL838,Creative Music Production,462.0,,
512,DL839,Interaction and User Experience Design,533.0,,
