,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
229,DC118,Gnó agus Gaeilge / Business and Irish,357.0,399,357.0
230,DC119,Global Business (Canada),566.0,577,566.0
231,DC120,Enterprise Computing,350.0,389,350.0
232,DC121,Computer Applications,370.0,418,370.0
233,DC123,Data Science,467.0,511,467.0
234,DC126,Actuarial Mathematics,520.0,543,520.0
235,DC127,Common Entry into Actuarial and Financial Mathematics,509.0,531,509.0
236,DC131,Communication Studies,400.0,441,400.0
237,DC132,Journalism,401.0,440,401.0
238,DC133,Multimedia,403.0,451,403.0
239,DC155,Applied Language and Translation Studies,371.0,430,371.0
240,DC161,Analytical Science,446.0,463,446.0
241,DC162,Chemical and Pharmaceutical Sciences,488.0,498,488.0
242,DC166,Environmental Science and Technology,412.0,442,412.0
243,DC167,Physics with Astronomy,434.0,477,434.0
244,DC168,Genetics and Cell Biology,489.0,500,489.0
245,DC171,Applied Physics,402.0,433,402.0
246,DC173,Physics with Biomedical Sciences,402.0,458,402.0
247,DC181,Biotechnology,476.0,488,476.0
248,DC190,Electronic and Computer Engineering (with choice of four majors),391.0,433,391.0
249,DC193,Mechatronic Engineering,404.0,445,404.0
250,DC195,Mechanical and Manufacturing Engineering,401.0,444,401.0
251,DC197,Biomedical Engineering,402.0,446,402.0
252,DC200,Common Entry into Engineering (Undenominated Entry),381.0,444,381.0
253,DC201,Common Entry into Science (Undenominated Entry),454.0,477,454.0
254,DC202,Sport Science and Health,467.0,476,467.0
255,DC203,Science Education,424.0,476,424.0
256,DC204,Athletic Therapy and Training,484.0,500,484.0
257,DC205,Physical Education with Biology,490.0,521,490.0
258,DC206,Physical Education with Mathematics,443.0,476,443.0
259,DC208,Psychology,509.0,521,509.0
260,DC209,Health and Society,419.0,440,419.0
261,DC215,General Nursing,414.0,443,414.0
262,DC216,Mental Health Nursing,368.0,389,368.0
263,DC217,Intellectual Disability Nursing,347.0,362,347.0
264,DC218,Children`s and General Nursing (Integrated),467.0,480,467.0
265,DC230,"Economics, Politics and Law",400.0,431,400.0
266,DC231,International Relations,387.0,445,387.0
267,DC232,Law and Society (BCL),453.0,487,453.0
268,DC235,Education and Training - Daytime Delivery Mode (full-time),307.0,327,307.0
269,DC238,Social Sciences and Cultural Innovation,358.0,388,358.0
270,DC240,"Marketing, Innovation and Technology",451.0,474,451.0
271,DC291,Arts (Joint Honours) - Media Studies,349.0,392,349.0
272,DC292,Arts (Joint Honours) - Law,356.0,388,356.0
273,DC293,Arts (Joint Honours) - International Languages,369.0,400,369.0
274,DC295,Arts (Joint Honours) - Politics,348.0,387,348.0
276,DT001,Product Design,433.0,464,433.0
277,DT028,Transport Operations and Technology,279.0,348,279.0
278,DT035,Electrical Services and Energy Management,293.0,340,293.0
279,DT066,Engineering (General Entry),400.0,457,400.0
280,DT101,Architecture (test and interview),,647,
281,DT106,Planning and Environmental Management,312.0,337,312.0
282,DT110,Property Economics (Valuation Surveying),367.0,424,367.0
283,DT111,Quantity Surveying and Construction Economics,391.0,421,391.0
284,DT112,Geographic Science,287.0,335,287.0
285,DT117,Construction Management,356.0,373,356.0
286,DT175,Architectural Technology,388.0,425,388.0
287,DT201,Science (General Entry),464.0,477,464.0
