Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019,Institution
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371.0,330.0,,University College Cork(NUI)
CK113,Criminology - 3 years or 4 years (International Pathway),463.0,423.0,408.0,University College Cork(NUI)
CK114,Social Science (Youth and Community Work) - 3 years,,777.0,,University College Cork(NUI)
CK115,Social Work - Mature Applicants only,,999.0,,University College Cork(NUI)
CK116,Sports Studies and Physical Education,,,499.0,University College Cork(NUI)
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),339.0,336.0,307.0,University College Cork(NUI)
CK120,Applied Psychology,543.0,531.0,506.0,University College Cork(NUI)
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),488.0,466.0,393.0,University College Cork(NUI)
CK122,Government and Political Science,399.0,326.0,355.0,University College Cork(NUI)
CK123,Anthropology,308.0,308.0,,University College Cork(NUI)
CK124,Education - Gaeilge,473.0,452.0,,University College Cork(NUI)
CK125,Sports Studies and Physical Education,555.0,509.0,,University College Cork(NUI)
CK201,Commerce,499.0,477.0,,University College Cork(NUI)
CK202,Accounting,543.0,509.0,467.0,University College Cork(NUI)
CK203,Business Information Systems,452.0,430.0,409.0,University College Cork(NUI)
CK204,Finance,566.0,556.0,531.0,University College Cork(NUI)
CK205,Commerce (International) with French,465.0,445.0,409.0,University College Cork(NUI)
CK206,Commerce (International) with German,455.0,418.0,408.0,University College Cork(NUI)
CK207,Commerce (International) with Italian,418.0,388.0,408.0,University College Cork(NUI)
CK208,Commerce (International) with Hispanic Studies,486.0,402.0,431.0,University College Cork(NUI)
CK209,Commerce (International) with Irish,507.0,484.0,509.0,University College Cork(NUI)
CK211,Commerce (International) with Chinese Studies,385.0,397.0,398.0,University College Cork(NUI)
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),444.0,444.0,400.0,University College Cork(NUI)
CK213,Food Marketing and Entrepreneurship,466.0,462.0,,University College Cork(NUI)
CK214,International Development,332.0,346.0,,University College Cork(NUI)
CK301,Law (Pathways) -  3 or 4 years,532.0,498.0,476.0,University College Cork(NUI)
CK302,Law and French,545.0,542.0,453.0,University College Cork(NUI)
CK304,Law and Irish,588.0,540.0,462.0,University College Cork(NUI)
CK307,Law and Business,589.0,556.0,522.0,University College Cork(NUI)
CK401,Computer Science,495.0,468.0,402.0,University College Cork(NUI)
CK402,Biological and Chemical Sciences,555.0,509.0,498.0,University College Cork(NUI)
CK404,"Biological, Earth and Environmental Sciences",495.0,465.0,412.0,University College Cork(NUI)
CK405,Genetics,543.0,487.0,476.0,University College Cork(NUI)
CK406,Chemical Sciences,532.0,462.0,457.0,University College Cork(NUI)
CK407,Mathematical Sciences,566.0,565.0,531.0,University College Cork(NUI)
CK408,Physics and Astrophysics,566.0,531.0,511.0,University College Cork(NUI)
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,432.0,413.0,University College Cork(NUI)
CK411,Data Science and Analytics,531.0,509.0,509.0,University College Cork(NUI)
CK412,Agricultural Science,506.0,489.0,457.0,University College Cork(NUI)
CK502,Food Marketing and Entrepreneurship,,,433.0,University College Cork(NUI)
CK504,Nutritional Sciences,554.0,517.0,492.0,University College Cork(NUI)
CK505,Food Science,463.0,420.0,444.0,University College Cork(NUI)
CK506,International Development and Food Policy,,,367.0,University College Cork(NUI)
CK600,Engineering,509.0,487.0,465.0,University College Cork(NUI)
CK606,Architecture - Offered jointly by UCC and CIT,543.0,469.0,465.0,University College Cork(NUI)
CK701,Medicine (Undergraduate Entry - HPAT required),737.0,731.0,,University College Cork(NUI)
CK702,Dentistry,625.0,613.0,590.0,University College Cork(NUI)
CK703,Pharmacy,613.0,589.0,577.0,University College Cork(NUI)
CK704,Occupational Therapy,601.0,555.0,,University College Cork(NUI)
CK705,Speech and Language Therapy,566.0,520.0,509.0,University College Cork(NUI)
CK706,Public Health Sciences,500.0,454.0,419.0,University College Cork(NUI)
CK707,Medical and Health Sciences,578.0,541.0,,University College Cork(NUI)
CK710,General Nursing,497.0,454.0,440.0,University College Cork(NUI)
CK712,Children`s and General Nursing (Integrated),565.0,533.0,499.0,University College Cork(NUI)
CK720,Mental Health Nursing,452.0,419.0,398.0,University College Cork(NUI)
CK730,Intellectual Disability Nursing,431.0,400.0,359.0,University College Cork(NUI)
CK740,Midwifery,509.0,473.0,444.0,University College Cork(NUI)
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,57.0,,University College Cork(NUI)
CM001,Education - Primary Teaching,508.0,484.0,,Marino Institute of Education
CM002,Education - Primary Teaching - Gaeltacht Applicants,462.0,,,Marino Institute of Education
CM003,Oideachas â€“ BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilg,513.0,528.0,,Marino Institute of Education
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,480.0,494.0,,Marino Institute of Education
CM010,Education Studies,327.0,317.0,317.0,Marino Institute of Education
CM020,Early Childhood Education,317.0,327.0,336.0,Marino Institute of Education
CR001,Applied Physics and Instrumentation,,250.0,,Cork Institute of Technology
CR006,Applied Biosciences,,361.0,,Cork Institute of Technology
CR007,Analytical and Pharmaceutical Chemistry,,240.0,,Cork Institute of Technology
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),,321.0,,Cork Institute of Technology
CR016,Software Development,,307.0,,Cork Institute of Technology
CR021,Business (Common Entry),,255.0,,Cork Institute of Technology
CR022,Business Administration,,190.0,,Cork Institute of Technology
CR031,Social Care Work,,346.0,,Cork Institute of Technology
CR032,Recreation and Leisure Management,,298.0,,Cork Institute of Technology
CR035,Community Development,,100.0,,Cork Institute of Technology
CR041,Tourism Management,,216.0,,Cork Institute of Technology
CR042,Hospitality Management,,208.0,,Cork Institute of Technology
CR046,Automotive Technology and Management,,216.0,,Cork Institute of Technology
CR051,Civil Engineering,,248.0,,Cork Institute of Technology
CR052,Construction,,251.0,,Cork Institute of Technology
CR053,Interior Architecture,,308.0,,Cork Institute of Technology
CR055,Environmental Engineering,,258.0,,Cork Institute of Technology
CR061,Electronic Engineering,,260.0,,Cork Institute of Technology
CR062,Electrical Engineering,,300.0,,Cork Institute of Technology
CR071,Mechanical Engineering,,261.0,,Cork Institute of Technology
CR075,Biomedical Engineering,,306.0,,Cork Institute of Technology
CR090,Architectural Technology,,266.0,,Cork Institute of Technology
CR094,Nautical Science at National Maritime College of Ireland,,243.0,,Cork Institute of Technology
CR095,Marine Engineering at National Maritime College of Ireland,,255.0,,Cork Institute of Technology
CR105,Chemical and Biopharmaceutical Engineering,443.0,443.0,432.0,Cork Institute of Technology
CR106,Software Development,431.0,411.0,351.0,Cork Institute of Technology
CR108,Mechanical Engineering,434.0,434.0,425.0,Cork Institute of Technology
CR109,Structural Engineering,396.0,394.0,341.0,Cork Institute of Technology
CR110,Automotive Business Management and Technology,336.0,311.0,318.0,Cork Institute of Technology
CR112,Creative Digital Media at CIT Crawford College of,390.0,361.0,335.0,Cork Institute of Technology
CR116,Computer Systems,365.0,332.0,318.0,Cork Institute of Technology
CR121,Music at CIT Cork School of Music,904.0,912.0,,Cork Institute of Technology
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1028.0,1088.0,,Cork Institute of Technology
CR126,Popular Music: Drums at CIT Cork School of Music,,801.0,,Cork Institute of Technology
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,768.0,,Cork Institute of Technology
CR128,Popular Music: Keyboards at CIT Cork School of Music,,840.0,,Cork Institute of Technology
CR129,Popular Music: Voice at CIT Cork School of Music,,841.0,,Cork Institute of Technology
CR130,Musical Theatre,525.0,505.0,,Cork Institute of Technology
CR150,Business Information Systems,350.0,335.0,326.0,Cork Institute of Technology
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450.0,,,Cork Institute of Technology
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,,,Cork Institute of Technology
CR225,Photography with New Media,435.0,,,Cork Institute of Technology
CR300,Physical Sciences (Common Entry),,282.0,,Cork Institute of Technology
CR305,Physical Sciences (Common Entry),260.0,282.0,279.0,Cork Institute of Technology
CR310,IT Management,347.0,297.0,282.0,Cork Institute of Technology
CR320,Biomedical Science - Offered jointly by CIT and UC,590.0,565.0,546.0,Cork Institute of Technology
CR325,Pharmaceutical Biotechnology,466.0,398.0,388.0,Cork Institute of Technology
CR333,Nutrition and Health Science,425.0,402.0,360.0,Cork Institute of Technology
