,Course_Code,Course_Title,EOS_2019,Mid
243,DC204,Athletic Therapy and Training,484.0,500
244,DC205,Physical Education with Biology,490.0,521
245,DC206,Physical Education with Mathematics,443.0,476
246,DC208,Psychology,509.0,521
247,DC209,Health and Society,419.0,440
248,DC215,General Nursing,414.0,443
249,DC216,Mental Health Nursing,368.0,389
250,DC217,Intellectual Disability Nursing,347.0,362
251,DC218,Children`s and General Nursing (Integrated),467.0,480
252,DC230,"Economics, Politics and Law",400.0,431
253,DC231,International Relations,387.0,445
254,DC232,Law and Society (BCL),453.0,487
255,DC235,Education and Training - Daytime Delivery Mode (full-time),307.0,327
256,DC238,Social Sciences and Cultural Innovation,358.0,388
257,DC240,"Marketing, Innovation and Technology",451.0,474
258,DC291,Arts (Joint Honours) - Media Studies,349.0,392
259,DC292,Arts (Joint Honours) - Law,356.0,388
260,DC293,Arts (Joint Honours) - International Languages,369.0,400
261,DC295,Arts (Joint Honours) - Politics,348.0,387
262,DT001,Product Design,433.0,464
263,DT028,Transport Operations and Technology,279.0,348
264,DT035,Electrical Services and Energy Management,293.0,340
265,DT066,Engineering (General Entry),400.0,457
266,DT101,Architecture (test and interview),,647
267,DT106,Planning and Environmental Management,312.0,337
268,DT110,Property Economics (Valuation Surveying),367.0,424
269,DT111,Quantity Surveying and Construction Economics,391.0,421
270,DT112,Geographic Science,287.0,335
271,DT117,Construction Management,356.0,373
272,DT175,Architectural Technology,388.0,425
273,DT201,Science (General Entry),464.0,477
274,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341.0,403
275,DT204,Biomedical Science,501.0,512
276,DT205,Mathematical Sciences,315.0,363
277,DT206,Biomedical and Molecular Diagnostics,473.0,487
278,DT211,Computer Science (Infrastructure),381.0,414
279,DT220,Industrial Mathematics,300.0,317
280,DT221,Physics with Energy and Environment,348.0,436
281,DT222,Physics Technology,321.0,371
282,DT223,Human Nutrition and Dietetics,553.0,566
283,DT224,Optometry,487.0,529
284,DT225,Public Health Nutrition,440.0,476
285,DT227,Science with Nanotechnology,312.0,361
286,DT228,Computer Science,451.0,466
287,DT229,Clinical Measurement Science,491.0,509
288,DT235,Physics with Medical Physics and Bioengineering,357.0,403
289,DT282,Computer Science (International),377.0,402
290,DT299,Chemical Sciences with Medicinal Chemistry,420.0,445
291,DT302,Business Analytics,325.0,403
292,DT304,E-Commerce in Retailing,341.0,388
293,DT321,Business and Law,462.0,478
294,DT341,Marketing,400.0,419
295,DT343,Retail and Services Management,301.0,332
296,DT354,Business Computing,322.0,341
297,DT358,Logistics and Supply Chain Management,300.0,359
298,DT365,Business and Management,440.0,456
299,DT366,Accounting and Finance,432.0,454
300,DT398,Human Resource Management,375.0,388
301,DT399,Economics and Finance,437.0,465
302,DT401,International Hospitality Management,300.0,337
303,DT405,Culinary Science,308.0,377
304,DT407,Culinary Arts,271.0,342
305,DT412,Tourism Marketing,284.0,322
306,DT413,Event Management,356.0,389
307,DT416,Culinary Entrepreneurship,275.0,339
308,DT420,Nutraceuticals in Health and Nutrition,392.0,432
309,DT421,Food Innovation,321.0,366
310,DT422,Pharmaceutical Healthcare,397.0,423
311,DT491,Environmental Health,343.0,380
312,DT501,Music,,520
313,DT504,Film and Broadcasting,443.0,467
314,DT506,Commercial Modern Music,,835
315,DT508,Game Design,403.0,454
316,DT517,Languages and English Studies,326.0,419
317,DT518,Languages and International Tourism,307.0,357
318,DT529,Drama (Performance),,519
319,DT532,Law (LL.B.),422.0,441
320,DT544,Interior Design,,866
321,DT545,Design - Visual Communication,,897
322,DT546,Fine Art,,813
323,DT555,International Business and Languages,353.0,399
324,DT559,Photography,,926
325,DT571,Social Care,394.0,424
326,DT572,Early Childhood Education,385.0,403
327,DT582,Journalism,347.0,373
328,DT596,Print Media Technology and Management,252.0,311
329,DT597,Creative and Cultural Industries,280.0,369
330,DL821,"English, Media and Cultural Studies",211.0,317
331,DL822,Arts Management,209.0,319
332,DL823,Business Studies - Entrepreneurship and Management,260.0,316
333,DL825,Applied Psychology,349.0,413
334,DL826,Visual Communication Design,,989
335,DL827,Art,,902
336,DL828,"3D Design, Modelmaking and Digital Art",,866
337,DL829,Design for Stage and Screen (Costume Design),,1021
338,DL830,Design for Stage and Screen (Makeup Design),,953
339,DL831,Design for Stage and Screen (Production Design),,1073
340,DL832,Animation,,1055
341,DL833,Photography,,791
342,DL834,Film and Television Production,,1011
343,DL835,Creative Media Technologies,237.0,289
344,DL836,Creative Computing,217.0,326
345,DL837,New Media Studies,290.0,349
346,DL838,Creative Music Production,,873
347,GC200,Business Studies (Cork),269.0,359
348,GC201,Accounting and Finance (Cork),251.0,388
349,GC230,Computing Science (Cork),228.0,327
350,GC300,Business Studies (Limerick),251.0,302
351,GC301,Accounting and Finance,307.0,314
352,GC302,"Business Studies - (HRM, Limerick)",269.0,269
353,GC305,International Hospitality Management (Limerick),327.0,327
354,GC400,Business Studies (Dublin),246.0,297
355,GC401,Accounting and Finance (Dublin),181.0,309
356,GC402,"Business Studies (HRM, Dublin)",217.0,290
357,GC403,Law (Dublin),225.0,308
358,GC405,International Hospitality Management (Dublin),254.0,272
359,GC407,"Business Studies (Marketing, Dublin)",246.0,330
360,GC430,Computing Science (Dublin),217.0,269
361,GC450,Journalism and Visual Media (Dublin),227.0,307
362,GC489,Interior Architecture (Dublin),,361
363,ID001,Accounting and Finance,229.0,291
364,ID002,Business Studies,285.0,366
365,BN101,Business,252.0,289
366,BN103,Business and Information Technology,254.0,290
367,BN104,Computing (Information Technology),260.0,293
368,BN107,Applied Social Studies in Social Care,300.0,328
369,BN108,Engineering (Common Entry with Award options),271.0,318
370,BN109,Business (Common Entry with Award options),260.0,279
371,BN110,International Business,253.0,308
372,BN111,Sports Management and Coaching,270.0,298
373,BN112,Creative Digital Media,280.0,329
374,BN113,Horticulture,289.0,321
375,BN114,Accounting and Finance,280.0,332
376,BN115,Community and Youth Development,250.0,298
377,BN117,Computer Engineering in Mobile Systems,273.0,311
378,BN118,Early Childhood Care and Education,290.0,320
379,BN119,Digital Marketing,270.0,308
380,BN120,Digital Forensics and Cyber Security,281.0,326
381,BN121,Mechatronic Engineering,276.0,340
382,BN123,"Design,Technology and Innovation",297.0,318
383,TA022,Creative Digital Media,260.0,318
384,TA023,Advertising and Marketing Communications,235.0,299
385,TA024,Early Childhood Care and Education,217.0,307
386,TA025,Social Care Practice,261.0,297
387,TA026,International Hospitality and Tourism Management,208.0,269
388,TA027,Botanical Cuisine,236.0,273
389,TA028,Digital Marketing Technologies,220.0,313
390,TA121,Accounting and Finance,202.0,328
391,TA122,Management,218.0,297
392,TA123,Marketing Management,207.0,284
393,TA125,International Business,229.0,300
394,TA221,Electronic Engineering,251.0,321
395,TA222,Mechanical Engineering,243.0,302
396,TA223,Sustainable Energy Engineering,236.0,305
397,TA224,Biomedical Design,218.0,324
398,TA225,Automation Engineering,235.0,288
399,TA226,Engineering Software,243.0,304
400,TA321,Pharmaceutical Science,261.0,298
401,TA322,Computing,200.0,294
402,TA323,Computing with IT Management,243.0,309
403,TA326,DNA and Forensic Analysis,300.0,362
404,TA327,Sports Science and Health,341.0,381
405,TA328,Computing with Language (French/German/Spanish),218.0,317
406,TA329,Computing with Data Analytics,218.0,296
407,AD101,First Year Art & Design (Common Entry),,ic 550
408,AD102,Graphic Design and Moving Image Design,,ic 635
409,AD103,Textile & Surface Design and Jewellery & Objects,,ic 545
410,AD202,Education & Design or Fine Art (Second Level Teaching),,ic 580
411,AD204,Fine Art,,ic 600
412,AD211,Fashion Design,,ic 600
413,AD212,Product Design,,ic 600
414,AD215,Visual Culture,300.0,338
415,AD217,Illustration,,ic 625
416,AD222,Interaction Design,,ic 657
417,NC003,Computing (Degree Award options),261.0,316
418,NC005,Human Resource Management,297.0,320
419,NC009,Business,297.0,339
420,NC010,Psychology,366.0,399
421,NC020,Marketing Practice,270.0,307
422,NC022,Accounting and Finance,338.0,376
423,NC023,Technology Management (with specialisations),260.0,303
424,NC025,Data Science,297.0,371
425,RC001,Medicine - Undergraduate Entry (HPAT required),,733
426,RC004,Physiotherapy,,542
427,RC005,Pharmacy,555.0,566
428,RC101,Medicine - Graduate Entry (GAMSAT required),,62
429,TR002,Music,,473
430,TR003,History,486.0,518
431,TR004,Law,532.0,552
432,TR005,Philosophy,391.0,446
433,TR006,Psychology,,577
434,TR007,Clinical Speech and Language Studies,499.0,529
435,TR009,Music Education,,465
436,TR012,History and Political Science,,557
437,TR015,"Philosophy, Political Science, Economics and Sociology",566.0,577
438,TR016,Deaf Studies,337.0,372
439,TR017,Law and Business,576.0,589
440,TR018,Law and French,,554
441,TR019,Law and German,523.0,555
442,TR020,Law and Political Science,567.0,600
443,TR021,"Classics, Ancient History and Archaeology",377.0,495
444,TR022,Early and Modern Irish,347.0,407
445,TR023,English Studies,463.0,511
446,TR024,European Studies,520.0,544
447,TR025,Drama and Theatre Studies,,531
448,TR028,Ancient and Medieval History and Culture,339.0,451
449,TR029,Political Science and Geography,477.0,500
450,TR031,Mathematics,566.0,589
451,TR032,Engineering,,520
452,TR033,Computer Science,,488
453,TR034,Management Science and Information Systems Studies,,602
454,TR035,Theoretical Physics,554.0,601
455,TR038,Engineering with Management,499.0,543
456,TR039,Computer Science and Language,435.0,498
457,TR040,Middle Eastern and European Languages and Cultures,485.0,518
458,TR041,Religion,347.0,393
459,TR051,Medicine (HPAT required),,739
460,TR052,Dental Science,,602
461,TR053,Physiotherapy,,544
462,TR054,Occupational Therapy,500.0,520
463,TR055,Radiation Therapy,510.0,521
464,TR056,Human Health and Disease,543.0,565
465,TR060,Biological and Biomedical Sciences,,542
466,TR061,Chemical Sciences,,520
467,TR062,Geography and Geoscience,435.0,485
468,TR063,Physical Sciences,,543
469,TR072,Pharmacy,,577
470,TR080,Global Business,565.0,577
471,TR081,"Business, Economic and Social Studies (BESS)",,542
472,TR082,Computer Science and Business,510.0,542
473,TR083,Sociology and Social Policy,451.0,474
474,TR084,Social Studies (Social Work),,462
475,TR085,Business Studies and French,509.0,553
476,TR086,Business Studies and German,474.0,495
477,TR087,Business Studies and Russian,467.0,487
478,TR089,Business Studies and Polish,393.0,434
479,TR090,Business Studies and Spanish,510.0,543
480,TR091,General Nursing (Meath and St James`s),,420
481,TR093,General Nursing (Adelaide School of Nursing),,409
482,TR095,Mental Health Nursing,358.0,377
483,TR097,Intellectual Disability Nursing,346.0,350
484,TR911,Children`s and General Nursing (Integrated),,487
485,TR913,Midwifery,423.0,462
486,DN100,Architecture,473.0,509
487,DN120,Landscape Architecture,353.0,403
488,DN130,City Planning and Environmental Policy,367.0,421
489,DN150,Engineering (Common Entry),511.0,554
490,DN200,Science (options),521.0,554
491,DN201,Computer Science (Common Entry),488.0,509
492,DN230,Actuarial and Financial Studies,577.0,589
493,DN250,Agricultural Science (options),420.0,462
494,DN252,Dairy Business,398.0,428
495,DN253,Agri - Environmental Sciences,403.0,419
496,DN261,Food Science,434.0,467
497,DN262,Human Nutrition,493.0,510
498,DN271,Forestry,303.0,361
499,DN272,"Horticulture, Landscape and Sportsturf Management",252.0,312
500,DN300,Veterinary Medicine - Undergraduate Entry,,589
501,DN310,Veterinary Nursing,441.0,487
502,DN400,Medicine - Undergraduate Entry (HPAT required),,745
503,DN401,Medicine - Graduate Entry (GAMSAT required),,61
504,DN410,Radiography,507.0,522
505,DN420,Physiotherapy,542.0,555
506,DN425,Health and Performance Science,488.0,509
507,DN430,Sport and Exercise Management,436.0,455
508,DN440,"Biomedical, Health and Life Sciences",,579
509,DN450,General Nursing,398.0,420
510,DN451,Children`s and General Nursing (Integrated),,499
511,DN452,Midwifery,409.0,452
512,DN453,Mental Health Nursing,379.0,403
513,DN520,Arts (Two Subjects),336.0,408
514,DN530,Humanities (options),348.0,411
515,DN541,Modern Languages (options),348.0,412
516,DN600,Law (options),,532
517,DN610,Business and Law,521.0,543
518,DN650,Commerce,,510
519,DN660,Commerce International (options),507.0,531
520,DN670,Economics and Finance,601.0,601
521,DN700,Social Sciences (options),388.0,441
522,DN710,Economics,476.0,488
523,DN720,Psychology,517.0,531
524,DN750,Social Policy and Sociology,330.0,366
525,DK810,Accounting and Finance,306.0,391
526,DK816,Business Studies,300.0,357
527,DK820,Computing in Games Development,307.0,369
528,DK821,Computing in Software Development,301.0,347
529,DK830,Building Surveying,302.0,349
530,DK831,Architectural Technology,301.0,366
531,DK832,Construction Management,300.0,329
532,DK843,Engineering (Common Entry),303.0,402
533,DK860,Music,,649
534,DK861,Arts,300.0,358
535,DK862,Social Care,300.0,338
536,DK863,Creative Media,300.0,376
537,DK864,Film and Television Production,300.0,332
538,DK865,Audio and Music Production,301.0,346
539,DK870,General Nursing,392.0,401
540,DK872,Intellectual Disability Nursing,300.0,317
541,DK874,Mental Health Nursing,356.0,378
542,DK876,Early Childhood Studies,305.0,359
543,DK877,Midwifery,,441
544,DK880,Health and Physical Activity,300.0,367
545,DK882,Agriculture (Award options),303.0,358
546,DK883,Science (Award options),300.0,369
547,GA181,Accounting,303.0,378
548,GA182,Business,290.0,347
549,GA183,Business Information Systems,309.0,373
550,GA184,Marketing and Sales,307.0,348
551,GA185,Finance and Economics,307.0,398
552,GA186,Business with Entrepreneurship,297.0,328
553,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280.0,367
554,GA281,Film and Documentary,287.0,360
555,GA282,Heritage Studies,238.0,308
556,GA283,Contemporary Art,260.0,340
557,GA284,Design,309.0,377
558,GA380,International Hotel Management,225.0,289
559,GA381,International Tourism Management,261.0,290
560,GA382,Culinary and Gastronomic Science,225.0,316
561,GA384,Event Management with Public Relations,209.0,289
562,GA385,Retail Management,219.0,319
563,GA480,Construction Management,260.0,312
564,GA482,Quantity Surveying and Construction Economics,280.0,340
565,GA483,Architectural Technology,251.0,321
566,GA484,Civil Engineering,270.0,362
567,GA580,Software and Electronic Engineering,301.0,351
568,GA680,Mechanical Engineering,336.0,389
569,GA681,Energy Engineering,281.0,328
570,GA682,Biomedical Engineering,331.0,383
571,GA683,Agricultural Engineering,301.0,365
572,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346.0,406
573,GA780,Applied Freshwater and Marine Biology,300.0,360
574,GA781,Applied Biology and Biopharmaceutical Science,317.0,376
575,GA782,Chemical and Pharmaceutical Science,307.0,346
576,GA783,Physics and Instrumentation,373.0,378
577,GA784,Science (Undenominated),327.0,377
578,GA785,Medical Science,451.0,486
579,GA786,Forensic Science and Analysis,300.0,366
580,GA787,Computing in Software Development,275.0,327
581,GA788,Computing and Digital Media,270.0,327
582,GA789,Agriculture and Environmental Management (Mountbellew Campus),297.0,339
583,GA790,Sport and Exercise Science,350.0,379
584,GA791,Public Health Nutrition,364.0,397
585,GA880,General Nursing - Mayo Campus,,400
586,GA882,Psychiatric Nursing - Mayo Campus,346.0,370
587,GA885,Outdoor Education - Mayo Campus,210.0,298
588,GA887,History and Geography - Mayo Campus,228.0,296
589,GA889,Applied Social Care - Mayo Campus,260.0,297
590,GA890,Early Childhood Care and Education - Mayo Campus,278.0,319
591,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376.0,389
592,GA981,Furniture Design and Manufacture - Letterfrack Campus,271.0,350
593,GA982,Furniture and Wood Technology - Letterfrack Campus,270.0,352
594,GY101,Arts (Joint-Honours),300.0,374
595,GY104,Arts (Psychology),507.0,529
596,GY105,Arts (History),318.0,358
597,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330.0,397
598,GY109,Arts (Mathematics and Education),411.0,487
599,GY110,Arts with Children's Studies,382.0,409
600,GY111,Arts with Creative Writing,402.0,472
601,GY112,Arts with Film Studies,338.0,370
602,GY113,Arts with Human Rights,338.0,409
603,GY115,Arts with Performing Arts Studies,328.0,367
604,GY118,"Arts (Drama, Theatre and Performance Studies)",410.0,451
605,GY119,Journalism,410.0,475
606,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309.0,346
607,GY121,Arts (Children's Studies),356.0,389
608,GY122,Na Dána (Cumarsáid agus Gaeilge),308.0,399
609,GY123,BSc (Applied Social Sciences),357.0,388
